Acción;Date;Usuaio
"Se abrio el formulario de Add_conductor ";"13/08/2019 11:48:03";zamo
"Se abrio el formulario de Add_conductor ";"13/08/2019 11:50:54";zamo
"Se guardo al conductor Cesar Samuel Rodriguez Hernandez y se asigno la ruta 2";"2019/08/13 11:51:20";zamo
"Se abrio el formulario de Add_conductor ";"13/08/2019 12:04:04";Sandra
"Se abrio el formulario de Add_Unidad ";"13/08/2019 12:06:11";Sandra
"Se abrio el formulario de Add_conductor ";"13/08/2019 12:10:25";Sandra
"Se abrio el formulario de Add_conductor ";"13/08/2019 12:11:30";Sandra
"Se abrio el formulario de Add_Unidad ";"13/08/2019 12:12:31";Sandra
"Se abrio el formulario de Add_conductor ";"13/08/2019 12:12:59";Sandra
"Se abrio el formulario de Add_Unidad ";"13/08/2019 12:15:21";Sandra
"Se abrio el formulario de Add_conductor ";"13/08/2019 12:15:29";Sandra
"Se abrio el formulario de Add_Unidad ";"13/08/2019 12:15:31";Sandra
"Se abrio el formulario de Add_conductor ";"13/08/2019 12:15:46";Sandra
"Se abrio el formulario de Add_conductor ";"13/08/2019 12:15:58";Sandra
"Se abrio el formulario de Add_Unidad ";"13/08/2019 12:29:41";zamo
"Se abrio el formulario de Add_Unidad ";"13/08/2019 12:40:55";zamo
"Se abrio el formulario de Add_Unidad ";"13/08/2019 13:08:42";zamo
"Se abrio el formulario de Add_Unidad ";"13/08/2019 13:09:57";zamo
"Se abrio el formulario de Add_Unidad ";"13/08/2019 13:10:19";zamo
"Se abrio el formulario de Add_Unidad ";"13/08/2019 13:11:42";zamo
"Se abrio el formulario de Add_Unidad ";"13/08/2019 13:20:43";Sandra
"Se guardo la Unidad 7";"2019/08/13 13:24:49";Sandra
"Se abrio el formulario de Add_conductor ";"13/08/2019 13:24:57";Sandra
"Se abrio el formulario de Add_Ruta ";"13/08/2019 15:19:14";zamo
"Se abrio el formulario de Add_Ruta ";"13/08/2019 15:30:33";zamo
"Se abrio el formulario de Add_conductor ";"13/08/2019 15:30:38";zamo
"Se guardo al conductor Prueba y se asigno la ruta 1";"2019/08/13 15:30:54";zamo
"Se abrio el formulario de Add_Ruta ";"13/08/2019 15:30:57";zamo
"No se logro guardar la ruta  prueba por algun problema en el conductor";"13/08/2019 15:31:07";zamo
"Se abrio el formulario de Add_Ruta ";"13/08/2019 15:51:25";zamo
"Se abrio el formulario de Add_Ruta ";"13/08/2019 15:52:04";zamo
"Se guardo la ruta Prueba";"13/08/2019 15:52:10";zamo
"Se abrio el formulario de Add_Ruta ";"13/08/2019 15:52:19";zamo
"Se abrio el formulario de Add_Unidad ";"13/08/2019 17:58:20";zamo
"Se abrio el formulario de Add_Unidad ";"14/08/2019 10:11:31";zamo
"Se abrio el formulario de Add_Unidad ";"14/08/2019 10:59:40";zamo
"Se abrio el formulario de Add_Unidad ";"14/08/2019 11:08:59";zamo
"Se abrio el formulario de Add_conductor ";"14/08/2019 11:39:39";zamo
"Se guardo al conductor Prueba y se asigno la ruta 1";"2019/08/14 11:40:29";zamo
"Se abrio el formulario de Add_Unidad ";"14/08/2019 11:41:29";zamo
"Se abrio el formulario de Add_Unidad ";"14/08/2019 11:42:22";zamo
"Se abrio el formulario de Add_Unidad ";"14/08/2019 11:44:26";zamo
"Se guardo la Unidad Prueba";"2019/08/14 11:44:44";zamo
"Se abrio el formulario de Add_conductor ";"14/08/2019 12:52:36";zamo
"Se abrio el formulario de Add_Unidad ";"14/08/2019 12:53:08";zamo
"Se abrio el formulario de Add_Ruta ";"14/08/2019 12:53:11";zamo
"Se abrio el formulario de Add_Unidad ";"14/08/2019 17:02:04";zamo
"Se abrio el formulario de Add_conductor ";"14/08/2019 17:50:25";zamo
"Se abrio el formulario de Add_conductor ";"14/08/2019 17:51:13";zamo
"Se guardo al conductor Prueba 2 y se asigno la ruta 1";"2019/08/14 17:51:34";zamo
"Se abrio la lista de Unidades ";"14/08/2019 17:57:10";zamo
"Se abrio la lista de Conductores ";"14/08/2019 17:58:38";zamo
"Se abrio la lista de Conductores ";"14/08/2019 17:59:02";zamo
"Se abrio la lista de Conductores ";"14/08/2019 17:59:21";zamo
